Date,Item,Item
2016-10-30,Coffee,33
2016-10-30,Bread,29
2016-10-30,Scandinavian,16
2016-10-30,Muffin,12
2016-10-30,Tea,12
2016-10-30,Medialuna,11
2016-10-30,Frittata,6
2016-10-30,Jam,6
2016-10-30,Pastry,6
2016-10-30,Fudge,5
2016-10-30,Hearty & Seasonal,5
2016-10-30,Hot chocolate,4
2016-10-30,Juice,3
2016-10-30,Mineral water,3
2016-10-30,Tartine,3
2016-10-30,Victorian Sponge,3
2016-10-30,Basket,2
2016-10-30,Cookies,2
2016-10-30,Farm House,2
2016-10-30,Cake,1
2016-10-30,Chicken sand,1
2016-10-30,Ella's Kitchen Pouches,1
2016-10-30,Mighty Protein,1
2016-10-30,Pick and Mix Bowls,1
2016-10-30,Smoothies,1
2016-10-30,Soup,1
2016-10-31,Coffee,60
2016-10-31,Bread,24
2016-10-31,Tea,19
2016-10-31,Muffin,17
2016-10-31,Pastry,13
2016-10-31,Cookies,9
2016-10-31,Farm House,9
2016-10-31,Hearty & Seasonal,7
2016-10-31,Soup,7
2016-10-31,Juice,6
2016-10-31,Cake,5
2016-10-31,Coke,3
2016-10-31,Jam,3
2016-10-31,Mineral water,3
2016-10-31,Sandwich,3
2016-10-31,Tartine,3
2016-10-31,Medialuna,2
2016-10-31,Focaccia,1
2016-10-31,Fudge,1
2016-10-31,Hot chocolate,1
2016-10-31,Mighty Protein,1
2016-10-31,My-5 Fruit Shoot,1
2016-10-31,Pick and Mix Bowls,1
2016-11-01,Coffee,38
2016-11-01,Bread,21
2016-11-01,Tea,19
2016-11-01,Pastry,14
2016-11-01,Scandinavian,9
2016-11-01,Cookies,7
2016-11-01,Soup,7
2016-11-01,Cake,6
2016-11-01,Alfajores,4
2016-11-01,Muffin,3
2016-11-01,Sandwich,3
2016-11-01,Tartine,3
2016-11-01,Hearty & Seasonal,2
2016-11-01,Hot chocolate,2
2016-11-01,Jam,2
2016-11-01,Juice,2
2016-11-01,Medialuna,2
2016-11-01,Coke,1
2016-11-01,Eggs,1
2016-11-01,Ella's Kitchen Pouches,1
2016-11-01,Farm House,1
2016-11-01,Fudge,1
2016-11-01,Victorian Sponge,1
2016-11-02,Coffee,42
2016-11-02,Bread,17
2016-11-02,Pastry,16
2016-11-02,Tea,14
2016-11-02,Alfajores,10
2016-11-02,Farm House,10
2016-11-02,Juice,8
2016-11-02,Soup,8
2016-11-02,Hearty & Seasonal,7
2016-11-02,Cookies,6
2016-11-02,Mineral water,4
2016-11-02,Fudge,3
2016-11-02,Jam,3
2016-11-02,Scandinavian,3
2016-11-02,Coke,2
2016-11-02,Mighty Protein,2
2016-11-02,Pick and Mix Bowls,2
2016-11-02,Sandwich,2
2016-11-02,Tartine,2
2016-11-02,Hot chocolate,1
2016-11-02,Muffin,1
2016-11-02,Smoothies,1
2016-11-03,Coffee,40
2016-11-03,Bread,26
2016-11-03,Pastry,18
2016-11-03,Farm House,10
2016-11-03,Alfajores,9
2016-11-03,Medialuna,9
2016-11-03,Tea,9
2016-11-03,Brownie,8
2016-11-03,Cake,6
2016-11-03,Cookies,6
2016-11-03,Focaccia,6
2016-11-03,Sandwich,6
2016-11-03,Hearty & Seasonal,5
2016-11-03,Dulce de Leche,4
2016-11-03,Fudge,4
2016-11-03,Jam,4
2016-11-03,Soup,4
2016-11-03,Hot chocolate,3
2016-11-03,Juice,3
2016-11-03,Ella's Kitchen Pouches,2
2016-11-03,My-5 Fruit Shoot,2
2016-11-03,Pick and Mix Bowls,2
2016-11-03,Mineral water,1
2016-11-03,Smoothies,1
2016-11-03,Tartine,1
2016-11-04,Coffee,51
2016-11-04,Bread,30
2016-11-04,Brownie,17
2016-11-04,Tea,14
2016-11-04,Medialuna,8
2016-11-04,Jam,7
2016-11-04,Alfajores,6
2016-11-04,Pastry,6
2016-11-04,Mineral water,5
2016-11-04,Cookies,4
2016-11-04,Fudge,4
2016-11-04,Hearty & Seasonal,4
2016-11-04,Hot chocolate,4
2016-11-04,Scandinavian,4
2016-11-04,Soup,4
2016-11-04,Farm House,3
2016-11-04,Juice,3
2016-11-04,Sandwich,3
2016-11-04,Tartine,3
2016-11-04,Pick and Mix Bowls,2
2016-11-04,Cake,1
2016-11-04,Dulce de Leche,1
2016-11-04,Honey,1
2016-11-04,Mighty Protein,1
2016-11-04,The BART,1
2016-11-05,Coffee,71
2016-11-05,Bread,36
2016-11-05,Brownie,31
2016-11-05,Medialuna,16
2016-11-05,Scandinavian,14
2016-11-05,Hot chocolate,12
2016-11-05,Tea,12
2016-11-05,Cake,11
2016-11-05,Fudge,9
2016-11-05,Frittata,7
2016-11-05,Jam,7
2016-11-05,Hearty & Seasonal,6
2016-11-05,Farm House,5
2016-11-05,Soup,5
2016-11-05,Pastry,4
2016-11-05,Basket,3
2016-11-05,Cookies,3
2016-11-05,Mighty Protein,3
2016-11-05,My-5 Fruit Shoot,3
2016-11-05,Coke,2
2016-11-05,Focaccia,2
2016-11-05,Granola,2
2016-11-05,Mineral water,2
2016-11-05,Pick and Mix Bowls,2
2016-11-05,Sandwich,2
2016-11-05,Tartine,2
2016-11-05,Fairy Doors,1
2016-11-05,Smoothies,1
2016-11-05,Victorian Sponge,1
2016-11-06,Coffee,48
2016-11-06,Bread,23
2016-11-06,Tea,17
2016-11-06,Pastry,15
2016-11-06,Alfajores,14
2016-11-06,Hot chocolate,10
2016-11-06,Muffin,9
2016-11-06,Farm House,8
2016-11-06,Jam,7
2016-11-06,Cake,6
2016-11-06,Tartine,6
2016-11-06,Focaccia,5
2016-11-06,Medialuna,5
2016-11-06,Hearty & Seasonal,3
2016-11-06,Mighty Protein,3
2016-11-06,Mineral water,3
2016-11-06,Brownie,2
2016-11-06,Fudge,2
2016-11-06,Juice,2
2016-11-06,Pick and Mix Bowls,2
2016-11-06,Basket,1
2016-11-06,Dulce de Leche,1
2016-11-06,Empanadas,1
2016-11-06,My-5 Fruit Shoot,1
2016-11-06,Sandwich,1
2016-11-06,Soup,1
2016-11-06,Victorian Sponge,1
2016-11-07,Coffee,41
2016-11-07,Bread,27
2016-11-07,Muffin,13
2016-11-07,Tea,12
2016-11-07,Medialuna,10
2016-11-07,Scandinavian,10
2016-11-07,Pastry,8
2016-11-07,Alfajores,4
2016-11-07,Coke,3
2016-11-07,Cookies,3
2016-11-07,Empanadas,3
2016-11-07,Farm House,3
2016-11-07,Fudge,2
2016-11-07,Sandwich,2
2016-11-07,Soup,2
2016-11-07,Tartine,2
2016-11-07,Hearty & Seasonal,1
2016-11-07,Hot chocolate,1
2016-11-07,Keeping It Local,1
2016-11-08,Coffee,44
2016-11-08,Tea,11
2016-11-08,Farm House,10
2016-11-08,Pastry,9
2016-11-08,Alfajores,8
2016-11-08,Brownie,8
2016-11-08,Medialuna,7
2016-11-08,Soup,6
2016-11-08,Bread,5
2016-11-08,Hot chocolate,5
2016-11-08,Muffin,5
2016-11-08,Sandwich,5
2016-11-08,Hearty & Seasonal,4
2016-11-08,Scandinavian,4
2016-11-08,Art Tray,2
2016-11-08,Cookies,2
2016-11-08,Fudge,2
2016-11-08,Tartine,2
2016-11-08,Bowl Nic Pitt,1
2016-11-08,Bread Pudding,1
2016-11-08,Coke,1
2016-11-08,Focaccia,1
2016-11-08,Frittata,1
2016-11-08,Juice,1
2016-11-08,Keeping It Local,1
2016-11-09,Coffee,32
2016-11-09,Bread,21
2016-11-09,Medialuna,5
2016-11-09,Soup,5
2016-11-09,Cookies,4
2016-11-09,Pastry,4
2016-11-09,Tea,4
2016-11-09,Bread Pudding,3
2016-11-09,Brownie,3
2016-11-09,Focaccia,2
2016-11-09,Fudge,2
2016-11-09,Hearty & Seasonal,2
2016-11-09,Keeping It Local,2
2016-11-09,Sandwich,2
2016-11-09,Tartine,2
2016-11-09,Adjustment,1
2016-11-09,Coke,1
2016-11-09,Eggs,1
2016-11-09,Farm House,1
2016-11-09,Hot chocolate,1
2016-11-09,Jam,1
2016-11-09,Juice,1
2016-11-09,Muffin,1
2016-11-09,My-5 Fruit Shoot,1
2016-11-09,Scandinavian,1
2016-11-10,Coffee,37
2016-11-10,Bread,31
2016-11-10,Cookies,12
2016-11-10,Brownie,9
2016-11-10,Tea,9
2016-11-10,Alfajores,7
2016-11-10,Pastry,7
2016-11-10,Medialuna,6
2016-11-10,Hot chocolate,4
2016-11-10,Soup,4
2016-11-10,Empanadas,3
